pH,EC,TDS,Temperature,DissolvedOxygen,Moisture,Label
7.04,600.1,102.9,30.8,5.14,33.3,1
6.31,173.3,287.8,28.4,5.76,15.3,0
6.69,257.6,106.2,20.4,5.31,28.4,1
7.81,152.1,54.5,24.8,8.49,32.5,1
6.54,414.3,349.5,26.1,5.36,34.6,1
7.67,502.7,88.5,22.7,6.53,20.8,1
6.1,500.4,214.7,18.1,6.17,17.3,0
7.42,446.9,205.5,25.3,6.42,27.7,1
8.15,276.3,-24.9,22.6,6.51,49.7,1
5.02,256.2,178.6,22.6,7.06,21.8,0
6.36,99.5,235.9,23.9,6.32,41.7,0
7.46,544.3,228.3,24.6,6.27,45.8,1
6.84,356.3,272.3,25.0,6.07,30.5,1
7.3,241.0,169.0,22.3,5.83,23.2,1
6.52,459.4,257.0,24.3,4.91,35.1,0
7.07,183.3,144.9,19.7,5.93,31.9,1
6.88,348.8,87.2,25.9,6.29,21.4,1
7.93,279.3,96.2,16.4,6.48,23.4,1
7.2,376.6,83.0,24.1,6.22,34.5,1
7.27,292.4,280.8,27.8,5.72,39.3,1
6.67,125.9,78.8,21.8,5.93,26.8,1
6.61,309.1,221.9,27.1,5.34,29.3,1
6.65,425.9,178.7,28.5,6.38,36.7,1
7.32,296.5,191.8,15.1,5.73,28.3,1
6.66,393.0,309.1,24.5,6.22,27.0,1
7.23,174.5,164.9,16.4,7.2,22.4,1
8.66,296.8,248.9,24.6,5.15,22.3,0
7.7,225.1,203.0,25.0,6.72,56.7,1
6.74,389.6,187.8,17.6,6.04,28.0,1
7.96,303.8,384.0,30.8,8.43,43.7,1
6.67,382.8,84.7,25.9,5.74,46.8,1
5.37,430.5,303.1,22.5,6.83,28.2,0
6.19,383.0,252.5,29.4,6.02,33.7,0
5.5,332.8,161.6,19.6,4.33,31.0,0
6.72,180.2,330.3,21.3,5.38,13.9,1
7.01,299.7,52.2,18.1,7.06,14.5,1
8.34,236.0,158.3,30.4,5.48,30.5,1
7.26,258.7,103.3,26.0,3.34,25.8,0
6.82,255.1,233.0,27.0,5.96,48.9,1
7.66,182.4,111.0,25.9,4.69,27.6,0
5.23,65.1,234.6,26.7,6.16,49.5,0
7.19,219.8,185.1,25.2,7.86,25.2,1
7.62,323.2,161.7,25.8,6.92,49.1,1
5.82,138.2,231.1,25.3,7.84,35.1,0
7.92,301.9,178.5,23.2,5.33,35.6,1
7.27,528.0,112.9,24.9,5.83,24.9,1
6.67,422.8,424.1,25.8,4.75,35.8,0
7.51,497.2,161.0,25.3,5.18,46.9,1
8.82,346.9,22.6,20.6,4.89,28.6,0
7.15,440.1,132.6,21.0,4.43,26.6,0
7.2,213.1,98.6,28.2,7.64,27.5,1
6.63,222.7,266.1,24.1,3.49,46.2,0
6.32,-28.7,225.7,26.8,7.64,38.6,0
7.66,442.3,231.9,21.7,7.5,44.5,1
6.32,484.8,170.4,20.6,6.6,33.1,0
7.06,233.6,177.7,22.5,4.66,30.4,0
6.62,269.5,170.3,24.3,4.1,34.2,0
7.38,209.5,193.5,23.0,5.34,40.7,1
7.27,345.9,266.8,28.9,6.75,27.5,1
7.83,435.0,226.9,25.5,6.0,43.7,1
6.59,90.9,240.0,30.5,4.75,33.7,0
6.78,349.1,240.0,26.2,7.38,5.9,1
6.22,266.8,270.8,17.8,8.02,38.8,0
6.64,313.6,223.1,28.2,5.73,17.3,1
7.3,355.1,228.7,20.5,6.13,38.6,1
7.61,277.4,295.1,25.7,4.19,39.0,0
6.26,287.6,146.8,22.7,5.5,33.3,0
7.7,274.3,131.5,31.4,6.61,35.4,1
8.08,416.4,105.1,29.3,6.43,41.0,1
7.33,350.3,214.6,22.8,5.39,25.0,1
8.5,326.5,51.7,24.6,5.67,37.9,1
6.38,147.5,237.0,25.7,5.46,41.6,0
6.0,254.6,191.3,27.6,5.67,47.6,0
5.58,407.8,290.8,25.1,6.51,18.9,0
8.2,304.5,146.2,21.9,3.64,34.1,0
7.52,379.1,183.7,22.8,5.91,20.4,1
6.96,512.0,289.8,25.0,6.42,20.0,1
7.22,424.6,310.7,28.7,5.32,33.6,1
6.1,311.2,145.6,26.3,5.42,30.8,0
8.96,238.7,214.5,22.7,5.46,41.5,0
7.1,-6.4,223.6,26.9,5.43,26.5,1
7.09,279.8,229.9,23.8,6.01,28.7,1
7.58,260.9,179.0,27.7,6.15,32.1,1
7.38,346.8,302.5,32.6,3.48,21.4,0
7.18,281.5,48.8,23.9,6.78,22.8,1
6.37,261.6,166.3,27.4,5.65,41.2,0
7.38,86.5,235.8,22.8,8.32,24.5,1
8.51,187.2,236.6,24.7,4.57,41.8,0
8.08,357.2,308.2,25.1,4.96,36.1,0
8.27,505.9,295.9,24.4,5.76,14.5,1
6.59,288.3,177.2,32.4,6.5,35.3,1
6.21,339.3,304.0,24.1,3.66,35.2,0
6.9,414.3,142.9,26.8,5.01,34.2,1
7.04,202.7,274.5,19.2,6.71,28.6,1
7.88,344.0,344.8,26.3,4.86,20.6,0
5.65,211.1,297.2,28.4,7.64,43.5,0
8.22,403.8,208.5,23.4,5.46,29.0,1
6.87,318.2,173.5,17.5,4.92,21.2,0
6.66,335.8,77.7,24.9,6.73,34.6,1
6.19,206.1,224.8,25.1,7.93,22.6,0
5.68,384.8,110.8,27.2,6.5,20.5,0
7.66,550.2,136.5,31.0,7.51,26.2,1
7.06,179.1,104.7,23.9,8.01,23.3,1
5.97,259.2,163.2,22.4,4.89,20.9,0
5.96,327.8,197.8,21.5,7.13,38.1,0
6.73,394.4,221.9,25.6,4.17,28.9,0
8.34,232.9,152.0,26.4,6.51,42.5,1
6.79,-40.0,285.5,23.4,5.91,21.5,1
5.8,463.1,183.3,27.3,7.49,12.7,0
6.8,391.3,137.0,26.4,7.41,31.5,1
6.78,90.8,218.1,25.1,6.68,48.6,1
4.84,227.1,357.1,22.3,6.36,35.3,0
6.96,488.2,226.8,23.6,6.61,62.2,1
6.82,473.7,171.0,17.7,6.07,33.3,1
7.56,412.6,77.8,25.7,5.93,32.4,1
8.48,278.9,182.4,25.1,7.73,8.4,1
7.9,310.0,218.8,25.6,7.88,34.3,1
6.78,284.3,169.0,26.5,5.83,31.7,1
6.11,435.4,66.8,26.2,6.29,25.9,0
9.06,194.9,132.0,24.7,6.1,28.6,0
7.05,203.3,316.4,25.1,4.07,29.3,0
7.01,421.2,314.7,20.8,5.6,28.2,1
6.98,294.7,129.1,23.2,7.92,50.9,1
7.16,465.4,253.8,25.2,5.1,26.3,1
6.88,219.4,105.7,22.8,8.54,31.7,1
6.54,293.4,312.3,27.6,7.41,26.0,1
6.56,189.3,219.6,23.0,6.48,37.8,1
6.97,300.9,276.0,25.6,6.67,31.8,1
6.57,122.6,62.8,25.3,4.9,27.2,0
6.43,241.5,254.2,27.2,5.68,10.7,0
7.09,127.6,199.4,27.7,7.73,32.4,1
6.8,383.3,268.2,27.1,5.26,26.9,1
8.2,386.0,273.2,18.7,7.27,29.4,1
4.88,92.4,205.3,28.6,4.35,18.2,0
7.87,460.1,151.9,29.6,4.56,44.3,0
8.0,599.7,262.4,23.6,8.28,38.6,1
5.34,305.5,195.2,25.7,5.99,44.3,0
6.73,223.1,130.2,22.3,5.35,41.5,1
6.7,638.9,126.4,19.2,7.64,35.9,1
5.87,141.7,81.8,22.8,7.49,18.6,0
6.38,302.4,159.2,23.4,7.1,48.4,0
6.11,321.6,288.2,23.9,5.32,20.7,0
8.4,461.4,214.2,22.1,5.66,27.3,1
7.75,343.2,157.6,22.8,6.37,37.1,1
8.02,240.2,264.4,25.0,6.83,37.6,1
7.58,185.9,133.4,22.7,5.39,35.7,1
6.1,259.0,207.6,26.6,6.2,26.0,0
6.58,179.2,185.6,27.0,6.32,23.9,1
7.39,305.7,262.3,32.1,7.54,55.3,1
6.02,232.3,73.8,28.4,6.91,29.6,0
7.57,120.7,132.0,25.7,4.19,28.4,0
6.81,450.6,68.9,23.1,5.74,22.9,1
6.7,240.3,179.2,25.9,4.89,32.4,0
7.57,147.8,296.9,26.0,6.68,32.0,1
7.36,279.8,159.6,23.5,7.11,29.8,1
6.71,308.2,159.1,27.4,6.12,33.8,1
7.93,90.4,269.7,20.8,5.68,47.6,1
6.14,339.8,285.5,24.3,6.08,24.0,0
7.49,174.3,192.9,26.7,6.25,30.4,1
7.47,505.3,254.8,24.1,5.23,23.5,1
6.75,362.9,113.8,24.4,4.54,32.9,0
7.26,252.0,310.2,24.6,3.54,24.3,0
6.0,210.6,371.9,22.5,7.52,24.7,0
7.74,287.4,241.7,28.5,6.6,15.4,1
6.85,373.5,33.3,21.9,6.44,31.0,1
6.58,296.9,155.3,26.0,7.52,34.3,1
7.84,273.9,249.0,26.2,4.49,48.6,0
6.44,307.0,166.3,22.2,3.92,34.7,0
5.87,227.5,301.8,25.2,6.46,25.5,0
5.75,258.8,247.1,22.3,6.35,16.4,0
7.48,49.7,143.5,29.2,3.92,17.8,0
5.98,416.8,202.6,21.6,6.43,17.0,0
8.4,335.9,128.5,23.0,5.52,48.8,1
5.33,207.2,185.4,21.3,5.03,32.9,0
8.36,527.8,155.6,20.9,5.6,24.2,1
7.17,310.4,294.0,29.8,3.07,20.4,0
6.92,175.7,369.3,26.6,5.29,21.4,1
6.56,402.8,85.5,25.4,5.15,23.9,1
7.32,347.8,46.1,23.0,6.67,43.2,1
6.97,347.3,180.4,27.7,5.81,29.7,1
7.88,248.9,78.5,22.5,6.77,15.5,1
7.09,354.1,203.7,27.4,2.94,53.1,0
7.12,268.6,259.9,22.4,4.99,18.6,0
6.71,366.7,319.5,23.1,6.67,24.1,1
6.95,71.4,216.1,27.3,5.63,43.1,1
7.25,247.9,184.5,27.6,7.01,34.2,1
5.63,506.7,41.7,26.8,3.83,25.3,0
5.92,208.0,202.1,21.9,6.88,17.7,0
7.59,227.5,205.7,23.7,5.23,20.3,1
7.14,246.2,251.1,25.5,5.12,20.9,1
6.85,154.2,143.3,22.5,7.19,30.1,1
7.01,35.0,165.2,29.1,7.39,31.9,1
7.28,272.3,81.8,17.8,7.24,28.5,1
6.57,316.3,16.7,22.7,8.45,29.6,1
6.38,293.7,111.3,23.5,7.52,19.5,0
7.16,282.6,74.4,16.5,5.05,32.9,1
6.22,305.2,226.9,20.8,6.17,42.8,0
7.33,422.7,158.5,26.9,5.57,28.4,1
5.64,277.1,156.9,25.1,8.43,28.2,0
7.82,231.1,121.2,29.7,7.33,30.8,1
7.38,266.3,-58.6,29.6,5.77,41.2,1
7.2,369.5,320.7,26.3,7.05,21.1,1
7.79,469.4,120.0,25.9,4.52,44.5,0
8.33,224.6,167.0,25.2,6.3,34.2,1
7.81,311.9,83.6,17.0,4.87,30.3,0
5.53,340.6,277.8,20.8,3.97,42.1,0
5.98,180.9,211.5,25.3,6.94,18.2,0
6.5,302.5,133.9,26.8,7.09,35.2,1
7.02,124.1,168.6,25.9,6.55,34.3,1
7.41,87.7,334.3,22.3,5.78,20.6,1
6.42,344.0,194.2,27.8,4.48,34.6,0
7.15,253.9,185.5,29.4,4.61,32.8,0
6.4,324.3,124.7,27.8,4.84,28.2,0
6.51,297.9,48.4,28.0,5.72,38.6,1
5.87,182.8,187.2,23.3,7.29,24.3,0
6.26,294.6,226.0,28.2,7.27,32.7,0
5.92,152.0,288.0,25.4,4.02,28.7,0
6.22,466.9,20.1,26.5,5.17,23.9,0
7.84,137.3,110.0,26.1,5.14,35.0,1
6.24,276.5,153.5,24.6,2.96,27.9,0
9.11,174.9,199.7,22.4,6.68,15.3,0
7.39,368.5,188.4,24.8,5.7,12.0,1
7.15,260.2,190.3,28.0,5.86,37.9,1
6.31,237.8,232.6,23.7,7.62,17.8,0
7.56,402.4,127.7,27.7,6.11,32.8,1
6.54,303.5,274.7,27.2,5.48,30.5,1
7.1,362.0,234.7,24.1,6.69,26.3,1
9.05,182.2,174.4,29.2,7.27,49.6,0
6.92,131.4,328.1,23.9,6.36,31.8,1
7.92,312.9,324.5,29.5,6.83,37.6,1
6.44,261.7,274.6,26.3,5.83,32.8,0
6.97,375.2,-41.5,25.0,5.9,27.7,1
8.42,290.4,326.3,22.3,6.14,29.8,1
6.5,324.6,263.6,24.7,5.1,44.6,1
8.45,105.2,360.5,24.4,5.32,40.9,1
7.57,526.6,299.0,21.2,7.65,49.5,1
6.55,280.3,326.3,24.3,8.41,32.2,1
7.51,383.7,270.3,22.6,7.91,21.2,1
7.78,199.7,307.9,26.8,4.41,25.6,0
7.5,337.0,359.5,28.9,4.3,18.1,0
5.74,143.7,217.3,21.3,4.57,37.7,0
6.42,354.2,74.2,30.1,6.16,24.1,0
6.8,257.3,175.4,24.6,2.63,-0.6,0
6.94,303.5,231.2,22.1,5.29,54.6,1
7.5,383.8,206.0,27.3,7.69,24.3,1
7.14,152.1,100.3,23.7,7.18,24.2,1
5.93,217.9,69.5,24.8,5.39,46.7,0
7.3,354.9,140.7,23.8,5.48,17.9,1
7.49,551.8,264.6,22.5,6.68,41.4,1
7.45,283.4,326.4,27.2,7.12,24.1,1
7.86,370.9,273.3,24.1,5.36,16.8,1
7.67,287.2,284.6,20.7,5.72,47.1,1
7.37,533.1,193.5,26.7,5.32,39.2,1
6.94,90.3,60.6,21.4,4.4,39.2,0
5.67,311.4,163.6,21.5,5.74,33.7,0
7.34,104.9,179.3,28.6,5.64,36.0,1
7.17,-0.8,160.2,21.4,4.49,17.7,0
7.22,335.7,204.4,18.1,6.78,31.1,1
5.98,316.7,235.3,26.9,6.58,20.7,0
6.14,265.8,268.2,24.1,6.83,16.1,0
7.84,287.3,177.8,24.3,5.08,34.1,1
6.97,671.8,47.7,24.1,3.62,41.6,0
7.55,269.0,161.4,25.7,6.56,26.2,1
7.02,361.2,203.5,22.7,5.2,27.9,1
7.02,222.1,297.8,29.4,4.93,18.6,0
7.75,335.4,154.6,20.6,4.49,30.1,0
6.59,271.4,241.0,26.3,5.67,37.6,1
7.08,250.7,223.2,26.9,7.89,37.9,1
6.63,518.3,203.5,22.7,5.39,35.5,1
6.65,441.3,274.4,21.9,4.69,23.8,0
6.75,316.4,147.1,28.1,6.78,23.5,1
7.18,23.5,154.0,22.0,6.21,38.0,1
6.62,256.7,199.0,23.2,3.46,38.1,0
8.0,624.4,148.8,27.7,6.79,28.3,1
6.28,272.3,240.6,25.1,8.55,25.7,0
6.85,432.4,142.9,19.6,2.88,41.7,0
6.65,473.0,218.1,30.2,4.52,26.4,0
8.16,326.3,192.0,23.4,2.58,37.5,0
7.16,199.0,217.2,23.8,5.91,28.6,1
7.83,7.8,163.2,25.8,7.19,19.5,1
5.81,382.1,172.9,26.9,6.13,46.1,0
7.21,202.2,207.7,30.9,7.67,31.2,1
7.71,321.1,216.2,20.0,7.0,22.9,1
7.07,150.0,199.7,27.5,8.04,16.1,1
7.85,268.2,336.4,27.2,7.39,17.1,1
6.59,304.0,120.7,24.6,5.52,26.3,1
8.13,332.2,194.9,27.4,6.08,49.3,1
8.84,166.2,74.1,27.8,4.96,24.2,0
6.71,443.6,229.8,20.9,5.72,44.5,1
6.64,228.4,110.8,30.2,6.07,28.7,1
8.16,99.1,177.7,20.3,5.9,18.2,1
8.26,286.9,170.2,21.6,7.61,25.3,1
6.58,304.1,222.5,24.2,5.6,17.2,1
6.66,319.3,155.8,30.8,4.88,21.4,0
6.77,463.5,152.4,24.1,4.96,21.1,0
5.92,271.6,314.9,24.9,6.79,11.0,0
6.27,285.6,222.8,29.3,4.32,45.1,0
6.2,167.6,155.1,24.1,5.76,32.1,0
6.39,398.5,179.9,21.5,7.59,23.1,0
6.97,322.1,331.6,23.7,6.35,32.2,1
7.19,249.6,181.2,29.1,5.91,21.6,1
8.24,71.4,144.9,25.2,5.96,3.3,1
6.2,473.3,145.2,30.8,4.76,59.6,0
7.79,152.7,156.1,27.2,4.97,31.9,0
6.83,229.0,152.4,23.1,5.77,24.1,1
6.96,343.0,97.6,25.2,6.33,10.7,1
7.54,156.4,110.1,22.4,7.14,15.1,1
6.1,120.8,133.7,23.0,6.11,46.5,0
7.31,45.1,247.3,38.4,7.62,45.0,1
7.13,386.5,169.5,28.1,7.93,37.5,1
7.39,234.6,183.4,27.6,6.95,18.8,1
7.23,651.3,301.6,23.1,7.47,45.1,1
8.96,180.7,303.6,29.7,4.81,34.5,0
6.49,189.4,177.4,28.3,4.62,36.5,0
6.58,232.2,149.5,30.6,6.62,34.5,1
6.5,329.2,130.8,30.5,4.39,14.9,0
6.56,243.6,255.4,20.6,5.65,18.0,1
6.49,373.5,183.6,21.7,6.93,24.9,0
7.95,182.6,169.1,22.0,7.7,36.4,1
8.14,134.2,134.9,22.2,5.69,16.2,1
6.54,84.2,138.4,26.0,5.22,28.2,1
6.33,33.2,225.6,23.3,6.38,28.2,0
7.38,237.8,94.8,31.2,4.71,37.9,0
6.56,263.9,279.6,30.7,5.79,36.7,1
7.51,224.2,157.3,25.0,5.99,19.9,1
7.16,449.2,188.0,30.9,5.97,44.5,1
5.79,447.4,93.0,29.5,6.11,18.4,0
8.24,259.8,199.0,23.6,5.0,40.9,0
8.44,84.7,173.7,19.0,5.13,24.5,1
6.51,232.0,196.0,24.3,5.1,31.6,1
6.69,228.0,317.7,23.1,4.06,32.3,0
7.23,221.1,214.2,25.6,6.41,32.0,1
7.27,216.3,136.4,25.3,7.07,36.7,1
7.53,221.6,143.1,25.2,6.96,33.9,1
8.61,253.6,247.6,26.6,5.69,37.8,0
6.86,223.7,303.9,21.4,5.03,34.6,1
6.36,325.0,222.6,26.2,6.89,17.4,0
5.9,343.2,255.1,23.7,6.77,32.7,0
6.42,190.7,248.8,25.6,6.26,24.4,0
6.97,452.5,313.5,27.9,8.09,18.9,1
8.44,182.4,44.0,21.3,5.97,27.1,1
6.59,105.9,253.4,24.2,5.69,31.8,1
7.18,345.7,278.7,24.6,5.52,32.5,1
6.99,201.9,92.9,23.5,4.13,40.6,0
7.95,338.6,129.1,27.7,6.79,43.1,1
9.02,11.6,131.9,22.8,5.87,33.4,0
6.58,467.1,141.7,23.3,6.61,35.2,1
6.61,380.7,161.5,22.9,8.21,31.0,1
7.84,119.9,219.4,28.3,5.53,37.7,1
7.55,122.5,269.3,23.5,3.19,34.9,0
8.48,500.7,286.5,26.4,6.58,29.5,1
7.47,211.5,133.0,30.9,6.2,51.5,1
6.71,199.9,132.4,24.8,5.12,24.5,1
7.47,28.1,305.3,28.3,6.48,44.5,1
7.89,257.9,251.7,30.0,6.94,16.5,1
7.66,272.7,206.6,28.1,4.86,38.1,0
7.41,385.9,237.9,24.9,5.64,44.4,1
7.85,132.1,197.6,26.9,7.77,10.9,1
7.94,117.6,242.0,21.1,5.13,31.4,1
8.11,354.1,173.1,22.7,6.08,37.2,1
7.52,420.8,221.5,23.2,2.85,32.5,0
6.87,111.5,79.2,31.7,4.22,33.8,0
7.12,429.8,145.0,22.6,6.19,31.4,1
7.97,304.5,145.8,22.5,7.47,19.1,1
6.35,431.0,170.0,21.9,4.37,53.7,0
7.29,291.6,125.9,26.7,6.09,25.0,1
6.69,-2.7,157.3,25.4,5.55,34.3,1
7.02,281.8,78.8,28.3,7.14,23.5,1
8.02,427.2,243.9,27.0,4.54,7.2,0
7.15,192.8,193.4,20.9,6.52,20.8,1
7.04,253.4,63.6,22.6,5.22,15.5,1
5.91,278.9,133.2,29.1,6.27,40.9,0
7.6,-47.9,226.9,24.4,6.08,23.9,1
7.52,500.6,156.6,28.6,5.7,24.9,1
8.73,191.8,144.2,24.6,6.57,19.4,0
6.75,360.7,194.0,22.1,6.05,30.9,1
7.18,289.6,227.5,24.1,5.84,22.8,1
7.2,450.9,85.1,22.1,5.57,39.9,1
8.26,348.7,244.0,23.3,6.09,33.0,1
6.92,271.8,136.0,25.6,6.27,24.3,1
7.22,192.8,198.6,26.5,4.81,38.5,0
7.49,395.7,197.2,20.2,5.58,30.1,1
7.15,75.2,157.8,24.9,4.73,30.2,0
6.64,377.5,118.1,23.2,5.95,15.4,1
7.16,168.1,177.1,23.1,5.29,29.3,1
7.86,450.3,330.0,25.4,6.92,33.2,1
6.18,319.4,91.1,23.3,6.81,43.3,0
7.11,377.3,335.4,29.1,4.89,22.5,0
6.44,309.8,179.2,28.6,6.0,52.8,0
7.96,89.7,202.8,28.5,6.77,35.6,1
5.78,196.7,113.1,23.5,5.79,14.8,0
6.55,380.7,138.3,22.1,5.13,21.5,1
7.3,320.0,159.8,25.2,4.69,44.2,0
8.25,441.7,116.3,24.5,7.03,42.4,1
6.95,348.4,183.3,23.2,7.08,30.2,1
6.56,184.0,167.4,21.5,5.75,31.5,1
8.5,204.5,348.1,24.9,6.92,18.4,1
5.84,312.4,106.7,23.8,2.44,43.2,0
5.24,22.3,208.2,27.1,7.59,20.1,0
7.35,500.8,219.8,27.0,5.81,38.4,1
6.6,353.0,114.4,28.3,6.17,43.5,1
6.18,447.2,254.9,21.2,5.62,30.5,0
7.57,110.3,168.1,26.2,7.67,39.7,1
7.2,449.3,0.6,22.8,4.73,48.5,0
6.55,567.8,252.8,21.3,7.77,32.7,1
5.98,141.5,110.6,23.7,6.48,28.2,0
7.7,392.6,116.2,28.2,6.75,29.3,1
7.52,300.1,255.0,23.9,5.6,22.6,1
6.92,114.7,172.2,29.7,4.43,22.3,0
8.48,359.1,273.4,26.6,7.12,34.4,1
6.14,400.0,296.8,23.8,6.37,28.4,0
5.78,227.9,148.4,28.5,7.63,33.3,0
6.45,439.9,263.5,26.3,5.77,15.1,0
6.96,100.0,139.6,22.2,5.5,29.1,1
7.19,120.6,378.6,30.6,7.67,40.3,1
6.81,316.4,144.6,25.8,8.29,18.8,1
7.28,303.0,282.1,25.1,6.01,30.2,1
6.0,214.0,267.5,22.4,5.1,11.5,0
8.16,397.2,225.3,28.5,6.97,16.9,1
6.93,363.7,146.4,26.6,5.7,38.1,1
7.89,403.0,187.9,26.9,6.72,26.9,1
7.27,285.2,27.7,23.5,5.69,48.2,1
7.37,372.3,218.0,27.5,7.88,34.3,1
7.46,246.5,228.0,27.7,5.16,35.3,1
7.36,546.5,210.7,23.0,6.58,19.2,1
7.51,202.5,-37.9,20.7,5.41,26.1,1
8.06,552.6,98.7,26.7,5.66,22.7,1
7.16,304.2,140.2,20.3,5.51,19.3,1
7.57,134.9,223.3,25.5,6.89,36.6,1
6.93,464.2,223.1,23.7,7.1,38.6,1
8.15,315.1,186.4,28.7,6.67,34.0,1
6.46,402.1,250.8,23.8,5.87,21.7,0
8.44,446.9,117.9,28.3,6.17,33.3,1
6.97,340.6,248.8,23.5,7.08,10.9,1
5.86,228.9,238.0,28.0,7.12,43.2,0
7.1,417.1,230.2,31.2,2.77,17.0,0
6.46,300.1,185.4,21.8,5.67,18.8,0
7.67,382.3,346.5,25.9,5.73,31.2,1
6.48,41.6,239.5,33.2,6.8,32.0,0
6.64,353.6,122.5,25.2,5.92,29.3,1
5.49,223.4,219.9,25.2,6.86,18.9,0
6.64,498.4,260.2,27.4,4.71,41.3,0
5.06,374.8,153.0,25.1,6.31,13.1,0
5.73,328.8,287.1,19.9,7.08,15.2,0
7.61,358.4,230.6,28.4,4.23,28.9,0
7.63,180.2,12.6,19.0,9.02,17.4,1
7.34,494.8,224.0,23.7,7.43,42.2,1
6.23,539.0,167.5,28.6,6.0,18.2,0
6.96,347.1,243.0,23.9,5.01,45.6,1
7.0,490.8,275.5,22.9,5.79,40.4,1
6.07,231.7,215.6,27.6,6.1,42.4,0
8.2,204.3,333.2,22.4,6.53,48.9,1
7.7,304.9,185.7,21.3,7.8,30.8,1
6.82,352.2,250.0,25.8,5.43,19.9,1
7.02,252.7,264.4,24.5,6.68,29.0,1
7.17,364.5,192.2,21.3,4.45,24.3,0
5.37,336.8,262.3,26.9,5.5,22.9,0
6.8,180.2,152.4,26.4,6.45,31.5,1
6.45,362.3,166.2,23.9,6.83,26.9,0
6.2,403.6,95.0,24.1,5.1,22.5,0
6.78,320.6,219.3,26.4,5.47,27.5,1
8.44,438.3,226.0,28.6,7.75,35.5,1
7.51,153.9,294.3,24.2,7.39,39.6,1
6.54,356.2,263.3,27.0,6.25,14.0,1
7.46,159.6,177.2,26.7,3.32,27.0,0
8.12,166.3,105.7,27.6,9.01,28.6,1
7.74,224.3,234.6,25.1,5.98,18.2,1
7.05,187.0,288.9,22.3,5.62,28.8,1
6.48,234.2,260.4,23.6,5.37,31.5,0
7.56,274.3,286.8,26.0,6.45,35.2,1
7.31,400.5,183.0,30.5,6.46,30.8,1
7.72,261.5,162.7,23.5,7.14,21.2,1
7.51,109.7,141.0,27.4,4.89,50.1,0
7.84,436.8,195.5,24.0,5.63,38.3,1
6.57,199.5,193.7,25.3,8.44,35.5,1
8.05,293.0,216.5,29.5,6.27,40.0,1
7.16,353.6,189.7,27.3,5.79,32.4,1
8.66,324.0,189.3,21.3,4.87,42.9,0
6.45,431.3,137.9,23.3,6.61,30.6,0
8.39,357.5,275.3,28.8,7.24,30.0,1
7.16,196.6,206.1,25.4,7.05,36.4,1
6.48,561.4,186.0,21.6,5.69,45.8,0
6.61,323.3,140.2,22.5,6.43,45.1,1
6.74,282.3,93.4,27.1,8.01,35.9,1
7.34,415.7,304.6,28.0,7.29,35.2,1
7.42,329.9,244.4,25.1,5.06,37.0,1
6.54,347.9,70.1,32.4,2.94,39.9,0
6.98,599.1,261.1,27.5,6.36,43.0,1
8.71,267.0,273.8,24.3,6.96,27.6,0
8.38,261.9,210.0,22.6,4.69,43.2,0
7.35,314.0,327.8,22.1,5.99,33.4,1
7.03,428.6,217.3,26.0,5.68,36.5,1
7.1,119.2,86.7,23.5,6.13,43.8,1
7.49,64.1,229.2,30.0,5.35,37.5,1
6.18,229.5,219.6,29.4,7.55,39.2,0
6.79,103.9,151.7,26.9,6.18,26.1,1
5.67,249.0,245.9,21.5,4.95,45.0,0
7.32,360.3,66.6,23.0,7.1,37.0,1
7.52,193.1,279.2,28.8,4.48,31.3,0
6.61,128.8,129.8,23.3,7.54,41.0,1
8.26,308.3,121.2,28.4,7.19,55.9,1
6.02,403.5,190.9,26.4,7.67,18.3,0
5.83,96.6,234.6,25.2,5.81,22.0,0
7.18,398.4,213.1,22.9,5.4,56.9,1
7.84,398.1,140.6,24.7,6.1,34.3,1
8.35,414.5,159.5,25.6,5.9,31.9,1
6.63,446.2,109.4,28.1,5.22,28.8,1
7.86,564.2,182.0,22.3,5.34,42.1,1
6.97,257.3,286.0,24.2,5.56,56.1,1
6.86,313.1,199.7,25.1,4.6,23.3,0
7.71,250.0,268.8,27.0,6.81,29.0,1
7.52,300.2,316.4,22.3,5.94,26.5,1
5.74,483.9,153.0,21.1,5.63,37.3,0
8.18,138.6,185.1,27.0,4.67,42.2,0
8.1,196.7,373.7,20.4,4.61,46.2,0
6.5,465.3,315.5,28.9,8.32,37.7,1
7.32,422.4,66.2,24.5,5.25,55.2,1
7.4,256.4,231.0,20.4,6.73,24.3,1
7.21,402.5,200.0,23.6,6.2,21.7,1
6.56,340.9,266.1,26.1,2.67,44.7,0
6.46,480.0,140.4,23.4,8.15,31.2,0
6.98,308.9,132.8,25.1,6.82,16.2,1
7.94,423.1,145.9,27.2,5.08,26.8,1
7.43,617.0,154.2,24.4,5.97,32.6,1
6.7,371.8,265.2,22.2,4.62,23.5,0
7.62,305.9,105.5,24.1,8.19,19.9,1
4.72,386.7,150.2,29.2,4.91,27.9,0
7.92,256.2,56.9,30.1,5.37,19.4,1
5.61,586.6,280.6,18.9,5.12,36.4,0
6.71,321.6,301.7,28.3,6.1,10.6,1
6.1,267.2,173.8,25.8,7.64,30.9,0
5.96,199.7,176.2,27.8,8.15,35.2,0
7.93,431.7,236.3,23.3,5.52,29.1,1
6.63,404.1,318.0,19.7,6.45,40.9,1
7.28,240.3,232.7,26.8,6.1,16.3,1
6.96,369.2,144.2,22.2,4.82,23.0,0
